 wavelength   modelled flux   observed flux
   620.804810       2.84826558E-04   0.00000000    
   620.507080       8.33179452E-04   0.00000000    
   620.209595       7.35264795E-04   0.00000000    
   619.912476       2.51309248E-04   0.00000000    
   619.615540       5.50517056E-04   0.00000000    
   619.318909       3.82499362E-04   0.00000000    
   619.022644       2.14689193E-04   0.00000000    
   618.726562       4.69827064E-05   0.00000000    
   618.430786       1.44972946E-04   0.00000000    
   618.135315       3.46238725E-04   0.00000000    
   617.840149       5.47296659E-04   0.00000000    
   617.545227       6.98411604E-04   0.00000000    
   617.250610       9.44971805E-04   0.00000000    
   616.956238       8.98374303E-04   0.00000000    
   616.662170       8.46208481E-04   0.00000000    
   616.368408       1.00345339E-03   0.00000000    
   616.074890       1.03253196E-03   0.00000000    
   615.781616       1.08102860E-03   0.00000000    
   615.488708       5.10656508E-04   0.00000000    
   615.195984       1.10520469E-03   0.00000000    
   614.903625       9.25384578E-04   0.00000000    
   614.611511       1.19929016E-03   0.00000000    
   614.319702       1.05934369E-03   0.00000000    
   614.028137       4.81255032E-04   0.00000000    
   613.736816       1.24927703E-03   0.00000000    
   613.445862       9.78525146E-04   0.00000000    
   613.155090       6.45835011E-04   0.00000000    
   612.864624       7.59680872E-04   0.00000000    
   612.574463       1.05293584E-03   0.00000000    
